anticadiolin antibdy ig blood|anticardiolipin igg antibody blood|body other cd7 fluid
potssium, potass body body fluidother flui|potassium other body fluid|fmc-7 other body fluid
blood oxyen|blood oxygen|blood hematocrit
urine sperm|sperm urine|qnt blod heogobin
d-dimer blood|blood d-dimer|clculated tota co2 blood
h/ smear blood|h/o smear blood|bands blood
ha-dr other ody fluid|boy other la-dr fluid|blood hypochromia
point in time urine urine magnesium,|magnesium, urine urine|<abumin> cerebrospinal fluid (csf)
bands blood|bands blood|blast blod
benzodiazepine urine urine screen,|benzodiazepine screen, ur pr urine|ferritin blood quantitative
fluid body lipase, other body fluid|lipase, body fluid other bf ody fuid|urine urine color
macroovalocytes blood|random blood macroovalocytes|cd41 bone marrow
epithlia ell urin|cells epitheli urne|uric acid crystals urine
burr cellularity cells bood|burr cells blood|hematocrit blood
bicarbonate blood ser|bicarbonate blood|sugar water test blood
cd8 absolute count blood|absute cd8 coutblood|macroovalocytes blood
beta-2 microglobulin blood|icroglobuli bet-2 beta2 glob blood|blood cd23
urine nitrite|urine nitrite|blod electr cc
double stranded dna bld|double stranded dna blood|sugar water test blood
plas flud otherbod|plasma other body fluid|urine volume urine
blood d15|cd5 blood|bleedig bood time
chloide, urine urie|quantitative chloride, urine urine|troponin sr bld t
transional epitheliaclls urine|transitional epithelial cells urine|urine hemosiderin
lmphocytes blood|lymphocytes lymphs% bld|basophils pleural
macrophage fluid macrophage joint|fluid jint macrphage|total protein, pleural pleural
blood cd5|blood cd5|quantitative blood cells young
myoglobin, urine urine|myoglobin, urine urine|homocyseine bloo serp
ea ascites ascitis nitrogen, ascies|urea nitrogen, ascites ascites blood urea nitrogen|bcarboate, stoo stol
calcium phosphate urine crystals|calcium phosphate urine crystals|myoglobin, urine urine
platelet clumps blood qualitative|clumps platelet blood|fluid other body cd41
blood c hemoglobin|blood hemoglobin|phosphate, body fluid other body fluid
ascites sodium,ascites|sodium, ascites ascites|cells envelope blood
anticardilipnantibody blood igg|anticardiolipin igg antibody blood|porphobilinogen qualitative screen urine
chemistry glucose, oy flui other by fluid|glucose, body body other fluid fluid fl|carcinoembyronic antigen (cea) blood
plasma cells pleural|wbc plasma cels leural|marrow bone cd103
cortiol serum blod|blood cortisol|casts wb urine
absolute count cd8 blood|absute cd8 coutblood|sugar water test blood
ld, fluid fluid joint joint|ld, joint fluid joint fluid|burr cells bld
cd38 other body fluid|cd38 other boy flud|fac rheumatoid factor blood
quantitative blood cells young|young cells blood blood|o2 bld flow
blood cd138|blood cd138|factor rheumatod lood
colesterl, cholesterols totl bloo|cholesterol, bood serum total|lymphocytes ascites point in time
lood parasite blood infectious disease smar|bld parasite smear bld identity or presence|factor blood i
blasts blood|blastsblod hematology/cell counts|pleural pleural cholesterols cholesterol,
other cd2 body fluid|cd fluid body other|bood cont, automated reticlocyt
urine urine cocaine,|cocaine, qualitative urine urine|blood cen centromere
qual bite cells blood|cells bite blood|cd38 other body fluid
absolute wbc count blood|blood count wbc|fluid cerebrospinal erythrocyte nrbc (csf)
blood bicarboat|blood bicarbonate|blood cd15
total protein, urine urine|total protei,urine urine|cd4 percent cells, blood
lipase, body fluid other body fluid|liase flu body uid other ody flui|potassium, urine qnt urine
fluid neutrophils cerebrospinal hypersegmented (csf)|hypersegmented neutrophils csf (csf)|body other promyelocytes fluid
level glucose blood|blood glucose|ketone urine
uine eukocytes|urine leukocytes|methemoglobin blood
po2, odyflidother oy fluid quantitative|po2, body fluid other body fluid|triglycerides, pleural pleural
bod imunofixation|immunofixation blood|virs hepatitic antbodyblood
plsm cholesterol, hdl blood|hdl cholesterol, blood|hepatiti bcore antibody, hepatis igm blood
reptilase blood time|reptilase time blood|virus a hepatitis ntibody iaa blood
functional fibrinogen, blood|fibrinogen, functional blood|eparin blood
reptilase blood time|reptilase blood time|basophilic stippling blood
actor blood x|factor xi blood|calcium phosphate urine crystals
troponin blood t|troponin sr bld t|burr cellularity cells bood
cner antigen blood plsm 27.29|tumor marker cancer antigen 27.29 blood|blood cd3
urine crystals, urine other|urine urine other crystals,|bone cd15 marrow
qnt ascites ascites bicarbonate,|bicarbonae, ascits ascite|blast blod
cerebospinafluid(csf) leuc myelocytes|cerebrospinal fl myelocytes cerebrospinalfld (cf)|uptake ratio blood
% hemoglobin a1c blood|% hemoglobin glycosylated hemoglobin a1c blood|fluid other body cd41
cd11c blood|bloo cd1c|cd2 bone arow
monocytes cerebrospinal fluid leuk (csf)|cerebrospinal monocytes fluid hematology/cell counts csf)|red blood blood cells quan
blood cd22|cd22 blood|ascites ascite sodium, na
ql prep heinzbo lood|heinz qualitative body prep blood|potassium, blood blood whole
hematocrit, other fluid other body fluid|hematocrit, fluid quan fluid other body other|fluid joint eosinophils wbcs
cd15 body other fluid|cd15 othr body fluid|cells mesothelial pleural
ascites osmolality, ascites|osmolality, ascites ascites|macropages quant pleural
onemarrw cd64|bone cd64 marrow|urine sperm
other cd117 body fluid|cd117 other body fluid|o2 bld flow
flud otherbody fmc-|m7 flui body other|luteinizing hormone blood
measured osmolality, bld|blood measured osmolality,|ascites protein, total ascites
urine hr calcium quant 24|hr 24 clcium urine|double stranded quant dna bld
flui polysjoint|polys joint fluid|alcohol ethanol bood
fluid(csf erebrospina metamyelocyts|metamyelocytes cerebrospinal fluid (csf)|blod lipe
cd64 bone marrow|cd64 marrow bone|rbc, csf cerebrospinal fluid (csf)
bicarboate, urnurine|bicaonate, urne urie|bilirubin, total blood
casts wbc urine|wbc casts urine|blod microcytes
blood tobramycin|tobramycin blood|qualitative urine, hcg, urine
cd117 other body fluid|other cd117 body fluid|envelope blood cells
lactate blood|blood lactate|basophils (cf) flui erebrospinal
c3 blood|quan blood c3|bas othr body fluid
white bld count bld cells|white blood cells blood|blood xi factor
bone hla-dr marrow|marrow bone hla-dr|cd2 other body fluid
urine ratio, amylase/creatinine urine|urie amyl ratio, urie mylse/reaiine|cd4/cd8 fluid other body ratio
clciu total blod|quan calcium, blood total|fetal hemoglobin blood
lipase, ascites ascites catalytic concentration|random ascites lipase, ascites|glucose bld whole bld
blood lactate 2-hydroxy-propionate|lactate blood|cd7 oher body flid
bone cd19 marrow|cd19 bonemarrow|pco2 blood
pophbilinogn urine cren heme|porphobilinogen screen urine|inr(pt) blood
bld gluc glucose|level glucose blood|urine urine calcium,
rbc, count cerebrospinal csf fluid (csf)|rb, csf hematology/cell counts (csf fluid erebrospinal|microcytes blood
potassium, ascites ascites|ascites k ascites potassium,|bone cd7 marrow
burr cellularity cells bood|burr cells blood|bone cd23 marrow
von blood factor activity willebrand|von willebrand factor activity blood|blirubinurine
total protein, joint fluid joint fluid|tal proei, oint fluid oint fluid|bone cd14 marrow
syn wbc, joint fluid jin fluid|wbc, fluid joint joint fluid random|c16/5 other bod flid
pleural abumin, plura|albumin, pt pleural pleural|porphobilinogen screen urine
bloo hematcit|blood hematocrit|qnt blod mchc
blood rigycerides|riglycerides blood|anti-thyroglobulin antibodies bld
uatitativeg6pd quantitative lood|blood g6pd quantitative red blood corpusles|carciebyronc antigen (cea) antigens blod
pt blod|pt blood|blood oxygen
hemosiderin urine ur|urine hemosiderin ur|blod electr cc
glucose, urine urine quan|glucose, urine urine|blood kinase (ck) creatine plasma
ascites dehydrogenase, lactate ascites|dehydrogenase, lactate ascites ascites l-lactate dehydrogenase|phnytoin blood
tpical ascites ascites lympocytes|wbc atypical lymphocytes ascites|factor x blood
micros sherocytes blood|spherocytes blood|pleural basophils pleural
urine sperm|urine sperm|sex blod plsm gloulin hormonebining
cd38 other boy flud|cd38 fluid body other|quantitative hemoglobin blood
total cerebrospinal universallaborders cs proein, fluid (csf)|total protein, csf cerebrospinal fluid (csf)|albumin, pleural pleural
amylas, joit fluid uid joint syn|amylase, joint fluid joint fluid|calcium phosphate crystals urine
ood macrocyte|macrocytes blood|uric acid crystals urine
urine glucose|urine glucse|blood carboxyhemoglobin
immunofixation, urine urine hematology|immunofixation, report urine urine|casts, urine other urine
blood nitrogen urea|blood bun nitrgen rea|polys other body fluid
eosnophilscerebrospinal spinal flu (csf) fli|cerebrospinal eosinophils fluid (cerebrospinal fluid)|eosinophils ascites
hyalin casts urine|hyaline casts urine|cerebospinafluid(csf) leuc myelocytes
promylocytes point in time other body fluid|body other promyelocytes fluid|protein, total blood
eosinophils joint fluid|eosinophils joint fluid|glucose blood
marrow bne cd7|cd7 bone marrow|bone cd23 marow
hemogloblin blood s|bld s hemogloblin|methadone, ordinal urine urine
bite cells lod|qual bite cells blood|screen saliylate bld
cd4 othr body flud|cd14 other bodylud|toal proein, pleurlpleural
chloride blood|chloride level bld|blood wb white cells bood
valproic acid blood|acidblood valproi|hemogloblin a blood
trichomonas urine|trichmonas urine qualitative|human chorionic serpl gonadotropin blood
cd7 bloo|cd7 blood|pleural macrophages quant
bld level antigen (cea) carcinoembyronic|carciebyronc antigen (cea) antigens blod|olestrol, lood hl
fmc7 other body fluid|fmc-7 fluid body other|promyelocytes othe body fluid body fluid
bcarboate, stoo stol|stool icaronate, stool|blood excess ase quant
wbc, joint fluid joint fluid|wbc, joint fluid fluid joint|blood xi factor
quanitative g6pd blood phosphorous|uatitativeg6pd quantitative lood|bld serp lipase
hyaline urine casts|hyaline casts urine|calcium, urine urine
glyco a bone marrow|glyco a marrow bone|direct protein.albumin bilirubin, blood
icroglobuli bet-2 beta2 glob blood|beta-2 microglobulin blood|erm viscost blood
urne spemen type urne|urine specimen type urine|phnytoin blood
po2lod qnt|respiratory po2 bld|urne yeast hypheated
bood f quantitative hemolobin|f hemoglobin blood pt|macrophag joint fluid
myelocytes blood|blood white blood cell myelocytes|cd3 bone marrow
blood eosinophils|bld eosinophil cnt|immunofixaion blod
protein functional c, blood|protin c, uncinal blood|von willebrand factor activity blood
bnzodizepine scren, urine urine qualitative|benzodiazepine urine urine screen,|tyrosine crystals urine
polys other body fluid|olysotr point in time fluid bdy|lod aid valproic
anion gap blood|anion gap blood quan|other cd22 body fluid
von blood factor activity willebrand|willebrand von factor activity blood|ferritin blood
blood d-dimer|d-dimer blood|absolte blod hmoglobin
cd5 marrow bone|cd45 bone marrow|total ascites protein, ascites
plasma cells leuc blood|cells plasm blod|bilirubin urine crystals
thrombin blood|blood romin|carcinoembyronic antigen tumor marker (cea) blood
young cls blod|young cells blood blood|cd4/cd8 ratio blood
phenytoin, perentfee blood|phenytoin, percent free blood|pleural pleural level chloride,
ferritinblod|blood ferritin|blood hematocrit
mch elec blood|blood mch electr|plera lbumin, pleural
actor blood x|factor xi blood|marrow bone cd8
hepatitis a virus igm antibody id blood|hepatitis a virus igm antibody blood|urine casts, other urine
polys joint fluid|polys fld joint|tyrosine crytals rin
phosphatase alkaline blood|alkaline phosphatase blood|ura itrogen lood
chlorde, whol bloodblood blood|chloride, whle blood quan bloo|ph other body fluid
stool chloride, stool|chloride, stool stool|urea nit nitroge, urin urne
monocytes cerebrospinal fluid leuk (csf)|monocytes cerebrospinal fluid (csf)|nh3 ammonia bld
platelet smear blood|bloo smear platelet manl|reptilase time blood
urine stals cholesterol|cholesterol urine crystals|bicarbonate, stool stool
porphobilinogen qualitative screen urine|porphobilinogen screen urine|ascites ascites creatinine,
glyco a blood|a glyco bood|24 hr qnt creatinine urine
blood polychromasia|polychromasia point in time blood|blood gap anion
schistocytes blood|blood blood schistocytes|whiteblod cels blood
cd56 blood|blood cd56|urine specimen type urine
joint nrbc fluid|nrbc joint fluid|bands boy neut ther flud
albumin, urine urine|albumin, urine urine|blood cd2
(csf) cerebrospinal fluid macrophage|(csf) cerebrospinal fluid macrophage|cels, d8 pecntblod
macrophages pleural|macropages quant pleural|immunoglobulin m blood
phenytoin blood|blood phenytoin|total binding capacity, iron blood
blood whole blood anisocytosis|anisocytosis blood|blood salicylate
procainamide serum or plasma bood|pocaamie qnt bld|urine wbc
mesothelial fluid cebrospinl cells (cerebrospinal fluid)|mesothelial cells (csf) fluid cerebrospinal|hematocrit, other fluid other body fluid
oxygen saturation quant blood|oxygen saturation blood|albumn blood
phentoin blood zentropil|dph phenytoin blood|whole chloride, blood blood
stool occult blood, faeces|blood, occult stool|protein s, antigen blood
pleural macrophages|macrophages pleural|plasma bf other body fluid
cd2 bone arow|bone cd marrow|fluid other body cd41
bone stain iron marrow|iron stain bone marrow|creatine kinase (ck) bod
cholesterol, body fluid other body fluid|cholesterol, body fluid other body fluid|carboxyhemoglobin blood
riglycerides blood|blood rigycerides|quantitative lymphs cerebrospinal fluid (csf)
creatine kinase, mb ioenzyme ck-2 bloo|quant crane inas,mb soenzymeblod|factor xii blood
bands crebrospinal csf flui|bands cerebrsal (csf) fuid|urine rbc
fluid other body cd7|body other cd7 fluid|factor x blood
trile phosphate crsls urine|urine phosphate crystals triple|bas blod eces calculation
cd4 percent cells, blood|cd4 cells, percent blood|protein, total blood
urine bilirubin|blirubinurine|hyaline urine casts
glucose, body fluid other body fluid level|glucose, body body other fluid fluid fl|cocaine, urine urine
metamyelocytes percent other body fluid|mtamyelocyteother body fluid|non-squamous epithelial cells urine
albumin, pt pleural pleural|plera lbumin, pleural|fluid joint basophils
thanol blood|etoh etanl blod|red blood cells blood
bld po2|blood po2|lymphocytes lymphs% bld
polychromasia blood|polychromasia point in time blood|blood plateletcout random
